Freq.	V(vout)/(V(vinp)-V(vinn))
1.12201845430196e+07	(2.23240424312760e+01dB,-8.49090742703581e+01°)
1.25892541179416e+07	(2.13314752184607e+01dB,-8.54454040320732e+01°)
1.41253754462275e+07	(2.03376606813326e+01dB,-8.59221659588223e+01°)
1.58489319246110e+07	(1.93429303501525e+01dB,-8.63453728661878e+01°)
1.77827941003891e+07	(1.83475722328009e+01dB,-8.67204062674725e+01°)
1.99526231496887e+07	(1.73518469889036e+01dB,-8.70520692690520e+01°)
2.23872113856832e+07	(1.63560033223148e+01dB,-8.73446442710104e+01°)
2.51188643150956e+07	(1.53602932657068e+01dB,-8.76019581663258e+01°)
2.81838293126443e+07	(1.43649878545058e+01dB,-8.78274601113978e+01°)
3.16227766016836e+07	(1.33703933470040e+01dB,-8.80243193614118e+01°)
3.54813389233573e+07	(1.23768676089899e+01dB,-8.81955527824641e+01°)
3.98107170553494e+07	(1.13848354795788e+01dB,-8.83441925599796e+01°)
4.46683592150960e+07	(1.03948009329061e+01dB,-8.84735032459755e+01°)
5.01187233627269e+07	(9.40735278561949e+00dB,-8.85872524628794e+01°)
5.62341325190345e+07	(8.42315986513441e+00dB,-8.86900308264160e+01°)
6.30957344480189e+07	(7.44295123778121e+00dB,-8.87876044205774e+01°)
7.07945784384133e+07	(6.46747755503373e+00dB,-8.88872690032611e+01°)
7.94328234724275e+07	(5.49745092821714e+00dB,-8.89981608314150e+01°)
8.91250938133739e+07	(4.53346305925040e+00dB,-8.91314660364909e+01°)
9.99999999999992e+07	(3.57588488360708e+00dB,-8.93004608170391e+01°)
1.12201845430195e+08	(2.62475600218411e+00dB,-8.95203131442753e+01°)
1.25892541179416e+08	(1.67967850104545e+00dB,-8.98075922943716e+01°)
1.41253754462274e+08	(7.39735840258132e-01dB,-9.01794760677614e+01°)
1.58489319246110e+08	(-1.96539873488365e-01dB,-9.06527202331257e+01°)
1.77827941003891e+08	(-1.13113357341072e+00dB,-9.12425455381882e+01°)
1.99526231496886e+08	(-2.06644101513147e+00dB,-9.19616684985565e+01°)
2.23872113856832e+08	(-3.00510595932809e+00dB,-9.28197099143940e+01°)
2.51188643150956e+08	(-3.94983503373145e+00dB,-9.38231365557943e+01°)
2.81838293126443e+08	(-4.90323347274145e+00dB,-9.49757461106255e+01°)
3.16227766016835e+08	(-5.86769914350005e+00dB,-9.62795506651626e+01°)
3.54813389233572e+08	(-6.84539438835338e+00dB,-9.77358130988245e+01°)
3.98107170553494e+08	(-7.83829341468435e+00dB,-9.93459763557947e+01°)
4.46683592150959e+08	(-8.84828571066820e+00dB,-1.01112285848668e+02°)
5.01187233627268e+08	(-9.87730761999014e+00dB,-1.03037999989029e+02°)
5.62341325190344e+08	(-1.09274740693928e+01dB,-1.05127172506962e+02°)
6.30957344480188e+08	(-1.20011868100660e+01dB,-1.07384051423822e+02°)
7.07945784384132e+08	(-1.31012006605186e+01dB,-1.09812173884965e+02°)
7.94328234724274e+08	(-1.42306331046058e+01dB,-1.12413257779808e+02°)
8.91250938133737e+08	(-1.53929055613460e+01dB,-1.15186016145388e+02°)
9.99999999999991e+08	(-1.65916088260267e+01dB,-1.18125056546654e+02°)
1.12201845430195e+09	(-1.78302932971375e+01dB,-1.21220068282515e+02°)
1.25892541179416e+09	(-1.91121982981639e+01dB,-1.24455523003385e+02°)
1.41253754462274e+09	(-2.04399528293874e+01dB,-1.27811087731824e+02°)
1.58489319246110e+09	(-2.18152974173645e+01dB,-1.31262847880648e+02°)
